ROILimits_1,ROILimits_2,Value
70,103,P
118,146,QRS
332,361,P
382,408,QRS
554,568,P
606,641,QRS
824,841,P
851,878,QRS
922,1006,T
1053,1086,P
1090,1121,QRS
1291,1316,P
1320,1350,QRS
1517,1543,P
1545,1592,QRS
1788,1808,QRS
1964,2000,P
2004,2032,QRS
2244,2264,QRS
2454,2470,P
2481,2507,QRS
2549,2590,T
2698,2734,P
2739,2805,QRS
2813,2919,T
2947,2980,P
2986,3025,QRS
3066,3120,T
3173,3217,P
3235,3264,QRS
3503,3536,QRS
3787,3831,QRS
4025,4048,P
4051,4089,QRS
4114,4168,T
4239,4275,P
4305,4332,QRS
4541,4559,P
4583,4603,QRS
4814,4834,P
4841,4867,QRS
4913,4961,T
5066,5102,P
5106,5125,QRS
5167,5210,T
5347,5362,P
5367,5386,QRS
5572,5616,P
5625,5674,QRS
5698,5833,T
5835,5868,P
5874,5913,QRS
5959,5994,T
6090,6119,P
6139,6167,QRS
6214,6257,T
6341,6385,P
6399,6419,QRS
6462,6497,T
6579,6622,P
6630,6656,QRS
6703,6744,T
6804,6850,P
6853,6882,QRS
6928,6971,T
7040,7070,P
7095,7132,QRS
7165,7204,T
7307,7334,P
7345,7381,QRS
7563,7580,P
7608,7635,QRS
7668,7721,T
7815,7853,P
7874,7900,QRS
8074,8098,P
8124,8143,QRS
8328,8373,P
8377,8396,QRS
8606,8618,P
8627,8669,QRS
8694,8738,T
8798,8835,P
8851,8876,QRS
9043,9064,P
9072,9123,QRS
9295,9310,P
9319,9340,QRS
9384,9454,T
9505,9529,P
9549,9572,QRS
9618,9662,T
9771,9790,P
9796,9845,QRS
9870,9904,T
10014,10038,P
10063,10082,QRS
10312,10333,P
10336,10355,QRS
10529,10572,P
10585,10613,QRS
10656,10712,T
10812,10835,P
10841,10867,QRS
11076,11097,P
11110,11133,QRS
11357,11375,P
11383,11409,QRS
11621,11635,P
11641,11669,QRS
11855,11896,P
11903,11934,QRS
12128,12152,P
12171,12190,QRS
12399,12428,QRS
12630,12654,QRS
12697,12740,T
12822,12850,P
12867,12892,QRS
12937,12977,T
13051,13075,P
13109,13141,QRS
13177,13239,T
13319,13351,P
13367,13392,QRS
13612,13632,QRS
13679,13731,T
13834,13846,P
13865,13884,QRS
13925,13964,T
14076,14106,P
14129,14148,QRS
14184,14232,T
14350,14363,P
14382,14421,QRS
14580,14601,P
14611,14638,QRS
14801,14833,P
14851,14878,QRS
15032,15055,P
15080,15105,QRS
15258,15288,P
15295,15321,QRS
15367,15403,T
15475,15503,P
15507,15558,QRS
15674,15700,P
15711,15737,QRS
15784,15821,T
15888,15906,P
15915,15943,QRS
15989,16037,T
16085,16125,P
16137,16156,QRS
16201,16243,T
16341,16360,P
16369,16398,QRS
16434,16529,T
16604,16628,P
16640,16659,QRS
16903,16921,QRS
17115,17131,P
17151,17176,QRS
17219,17262,T
17374,17393,P
17414,17443,QRS
17697,17756,QRS
17761,17799,T
17952,17979,QRS
18023,18070,T
18154,18184,P
18203,18230,QRS
18275,18393,T
18437,18452,P
18466,18486,QRS
18678,18724,P
18729,18792,QRS
18803,18851,T
18945,18988,P
18994,19021,QRS
19199,19235,P
19246,19295,QRS
19451,19492,P
19506,19536,QRS
19749,19774,P
19787,19847,QRS
19857,19986,T
20009,20036,P
20052,20102,QRS
20287,20301,P
20313,20361,QRS
20542,20566,P
20571,20595,QRS
20772,20811,P
20828,20856,QRS
21047,21075,P
21078,21128,QRS
21319,21357,QRS
21541,21561,QRS
21600,21648,T
21728,21761,P
21771,21795,QRS
21839,21889,T
21941,21981,P
21993,22019,QRS
22190,22224,P
22226,22251,QRS
22442,22474,P
22479,22505,QRS
22544,22598,T
22712,22731,P
22755,22777,QRS
22812,22875,T
